File Extension,Ransomware,Present in other programs,Program type
wannacash,Unidentified,N,
CRPTXXX,Unidentified,N,
blower,Unidentified,N,
beep,Unidentified,N,
Athena865,Unidentified,N,
beer,Unidentified,N,
Magniber,Unidentified,N,
Maykolin,Unidentified,N,
pr09,Unidentified,N,
CK,Unidentified,N,
arena,Unidentified,N,
redrum,Unidentified,N,
maysomware,Unidentified,N,
Bioawards,Unidentified,N,
info@sharebyy[dot]com,Unidentified,N,
xxx,Merry,Y,SingerSewingMachineProfessionalSewWarefile
keepcalm,Unidentified,N,
Adame,Unidentified,N,
ehre,Unidentified,N,
howcanihelpusir,Unidentified,N,
koti,Unidentified,N,
7ev3n,Unidentified,N,
EMAN50,Unidentified,N,
ABCDEF,Unidentified,N,
tx_locked!,Unidentified,N,
LLTP,Unidentified,N,
Ungluk,Unidentified,N,
petruk,Unidentified,N,
pabluklocker,Unidentified,N,
air,Unidentified,Y,AdobeAIRInstallationPackagefile
7303yt,Unidentified,N,
remk,STOP,N,
2NEW,Unidentified,N,
harma,Unidentified,N,
JB88,Unidentified,N,
codnat,Unidentified,N,
MoonCrypter,Unidentified,N,
tzu,Unidentified,N,
KUAJW,Unidentified,N,
BaLoZiN,Unidentified,N,
lbkut,Unidentified,N,
Pendor,Unidentified,N,
LOL,Unidentified,N,
kirked,Unidentified,N,
WhatAFuck,Unidentified,N,
Epoblockl,Unidentified,N,
madek,Unidentified,N,
mouse,Unidentified,N,
Kriptovor,Unidentified,N,
tunca,Unidentified,N,
sandboxtest,Unidentified,N,
ZariqaCrypt,Unidentified,N,
Tornado,Unidentified,N,
DHDR4,Unidentified,N,
s1crypt,Unidentified,N,
roland,Unidentified,N,
tabe,Unidentified,N,
onyon,Unidentified,N,
RYK!,Unidentified,N,
sigrun,Unidentified,N,
PureLocker,Unidentified,N,
0day0,Unidentified,N,
bunny,Unidentified,N,
voyager,Unidentified,N,
drweb,Unidentified,N,
pubg,PUBG,N,
encryptd,Unidentified,N,
PO1HG,Unidentified,N,
bukyak,Unidentified,N,
abarcy,Unidentified,N,
Zzzz,Unidentified,N,
NOT,Unidentified,N,
KRAB,Unidentified,N,
topi,Unidentified,N,
josep,Unidentified,N,
moka,Unidentified,N,
ztsysjz,Unidentified,N,
LightningCrypt,Unidentified,N,
JFCWF,Unidentified,N,
lpsk,Unidentified,N,
Lulz,Unidentified,N,
_ryp,Unidentified,N,
Anubis,Unidentified,N,
YKUP,Unidentified,N,
dxxd,EdgeLocker,N,
HiddenTear,Unidentified,N,
CRYPTOBOSS,Unidentified,N,
ocean,Unidentified,N,
\u5df2\u52a0\u5bc6,Unidentified,N,
\u043a\u043e\u0441\u0442\u044f,Unidentified,N,
pandora,Unidentified,N,
0riz0n,Unidentified,N,
CryptXXX,Unidentified,N,
djvut,Unidentified,N,
djvur,Unidentified,N,
djvus,Unidentified,N,
djvup,Unidentified,N,
PopCornTime,Unidentified,N,
txd0t!,Unidentified,N,
u'*HERMES,Unidentified,N,
LeChiffre,LeChiffre,N,
kali,Unidentified,N,
DataKeeper,Unidentified,N,
bitpy,Unidentified,N,
nampohyu,Unidentified,N,
kwaaklocked,Unidentified,N,
fairytail,Unidentified,N,
[supportcrypt2019@cock\u2026,Unidentified,N,
IO],Unidentified,N,
mzlq,Unidentified,N,
"TROLL,",Unidentified,N,
myransext2017,Unidentified,N,
legion,KratosCrypt,N,
snake4444,Unidentified,N,
okean*,Unidentified,N,
hac,Unidentified,N,
repter,Unidentified,N,
Fadesoft,Unidentified,N,
OBLIVION,Unidentified,N,
igal,Unidentified,N,
AngryDuck,Unidentified,N,
rlhwasted_info,Unidentified,N,
dutan,Unidentified,N,
locker16,Unidentified,N,
bboo,Unidentified,N,
maya,Rakhni,N,
46d7k,Unidentified,N,
8637,Unidentified,N,
pdff,Unidentified,N,
EVIL,Unidentified,N,
dsec,Unidentified,N,
cryptotorlocker*,Unidentified,N,
TRAPGET,Unidentified,N,
RARE1,Jigsaw,N,
xdata,Unidentified,N,
nacro,Unidentified,N,
judge,Unidentified,N,
aRpt,Unidentified,N,
shadow,Unidentified,N,
lck,Unidentified,Y,Lockfile(Paradox)
aes!,Unidentified,N,
Deniz_K\u0131z\u0131,Unidentified,N,
sz40,Unidentified,N,
middleman2020,Unidentified,N,
VENDETTA,Unidentified,N,
cammora,Unidentified,N,
Fuck_You,Unidentified,N,
CRYPTR,Unidentified,N,
remind,Unidentified,N,
codnet1,Unidentified,N,
lasan,Unidentified,N,
2lwnPp2B,Unidentified,N,
encencenc,Unidentified,N,
insta,Unidentified,N,
ha3,Locky,N,
rcrypted,Unidentified,N,
razy1337,Unidentified,N,
*kraken,Unidentified,N,
pizdosik,Unidentified,N,
CryptoHasYou,Unidentified,N,
deal,Unidentified,N,
HR,Unidentified,N,
Jigsaw,Unidentified,N,
Crypt0,Unidentified,N,
z3zmh,Unidentified,N,
mockba,Unidentified,N,
bora,Unidentified,N,
32aa,Unidentified,N,
vxLock,Unidentified,N,
