!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
ch3	Chart(HarvardGraphics3.0)
ch4	Presentation(Charisma4.0)
chd	Fontdescriptor(FontChameleon)
chi	Document(ChiWriter)
chk	Recovereddata(ChkDsk)
chl	ConfigurationHistoryLog
chm	CompiledHTML
chn	Data(Ethnograph3)
cho	ChordProfile
chp	Chapterfile(VenturaPublisher)
chr	Characterset(TurboC-TurboPascal)
cht	Chart(HarvardGraphics2.0-SoftCraftPresenter)
chw	CompiledHelpIndexfile
cid	AnalogXCallerIDfile
cif	CaltechIntermediateFormatgraphics
ciff	CanonCIFF
cil	ClipGalleryDownloadPackage
cit	IntergraphRasterFileReference
cix	Databaseindex(TCUTurboCUtilities)
ckb	Keyboardmapping(BorlandC++4.5)
cl	CommonLISPsourcecodefile
cl3	EasyCDCreatorLayoutfile
cl4	EasyCDCreatorLayoutfile
cl5	EasyCDCreatorLayoutfile
class	Javaclassfile
clb	ICQContactList
clg	WindowsCatalogfile
cli	ClientManagementSystemCustomerfile
clm	COLIMOfile
clp	Clipartgraphics(QuattroPro)
clpi	Blue-rayDiscClipInformationfile
clr	Colorbinaryscreenimage(1stReader)
cls	C++classdefinitionfile
cm	Datafile(CraftMan)
cmd	Batchfile(OS/2)
cmf	FM-musicfile(CreativeMusicFile)
cmg	CMGfile
cmk	Card(CardShopPlus)
cml	COMALprogramminglanguage
cmm	Cmmscript(batch)file(CEnvi)
cmo	VirtoolsCompositionfile
cmp	HeaderfileforPostScriptprinterfiles(CorelDRAW)
cmq	Culturemetricsfile
cmt	Culturemetricsfile
cms	TrialDirectormediastorage
cmv	Animation(CorelMoveCorelDraw4.0)
cmx	CorelPhotoPaintImage
cnc	CNCgeneralprogramdata
cnd	ControlDrawfile
cnf	Configuration(program-printersetup)
cnt	Helpfilecontents
cnv	Dataconversionsupportfile(WordforWindows)
cob	Cobolsourcecodefile
cod	Datafile(ForecastPlus-MSMultiplan-StatPacGold)
col	Colorpalette(AutodeskAnimator-many)
com	Command(memoryimageofexecutableprogram)(DOS)
con	Configurationfile(Simdir)
conf	Configurationfile
config	Configurationfile
cor	ProteinStructurefile
cpd	Script(ComplaintsDesk)
cpe	MSFaxCoverSheet
cpf	Fax(TheCompleteFax)
cph	CorelPrintHouseimage
cpi	CodePageInformationfile(DOS)
cpl	Controlpanelfile(Windows3.x)
cpo	CorelPrintHousefile
cpp	C++sourcecodefile
cpr	CubaseProjectfile
cps	BackupofstartupfilesbyCentralPointPCTools
cpt	CompressedMacfilearchivecreatedbyCOMPACTPRO
cpx	ControlPanelApplet
cpy	CopyBooksDatafile
cpz	Musictextfile(COMPOZ)
cr2	CanonRawImagefile
crc	TotalCommanderCRCfile
crd	Cardfile(Windows3.x-YourWay)
crf	Cross-reference(MSMASM-ZortechC++)
crh	LinksGamesCoursefile
crp	Encrypteddatabase(dBASEIV)
crs	FileConversionResource(WordPerfect5.1)
crt	Terminalsettingsinformation(Oracle)
crtr	Multi-AdCreator7document
crtx	MicrosoftChartTemplatefile
cru	CompressedfilearchivecreatedbyCRUSH
crw	CanonRAWImagefile
crx	ChromeExtensionfile
crz	LinksGamesCoursefile
cs	VisualC#Sourcefile
csa	CommaDeliminatedText
csf	AdobeColourSettingsfile
csg	Graph(Statistica/w)
csh	HamiltonLabsCShellScriptfile
csk	ClarisWorks
csm	Precompiledheaders(BorlandC++4.5)
cso	CompressedISOImagefile
csp	PCEmceeScreenImagefile(ComputerSupportCorporation)
css	CascadingSheetStylefile
cst	MacromediaDirectorCastfile
csv	CommaSeparatedValuestextfileformat(ASCII)
ct	ContinousTonefile
ctc	Controlfile(PCInstaller)
ctd	CobraTrackDump
ctf	Charactercodetranslationfile(Symphony)
ctg	CanonCatalogfile
ctl	MicrosoftVisualBasicControlfile
ctn	CADTERNSfile
ctt	Messengercontactsfile
ctu	CZTU,agamma-rayanalysisprogram.NeedtheCTZU.exefile
ctx	CourseTeXtfile(Microsoftonlineguides)
cty	SimCityCityfile
cue	MSCueCardsdata
cuf	CUtilitiesFormdefinition(TCUTurboCUtilities)
cul	Windowscursorlibrary(IconForge,ImageForge,ImageForge
cur	Cursorimagefile(Windows3.x)
cut	Bitmapgraphics(Dr.Halo)
cv4	Colorfile(CodeView)
cv5	Canvasversion5
cva	ACDCanvasSequenceSetfile
cvb	BorlandBDEFile
cvd	Bitdefender
cvp	Coverpage(WinFax)
cvr	WinFaxCoverSheet
cvs	Graphics(Canvas)
cvt	BackupfileforCONVERTeddatabasefile(dBASEIV)
cvw	Colorfile(CodeView)
cwk	ClarisWorksdata
cwz	CropWalkerfile
cxf	GooglePicasaCollagefile
cxp	CoreMediaPlayerXML-basedPlaylistFile
cxt	MacromediaDirectorProtectedCastfile
cxx	C++sourcecodefile(ZortechC++)
d	Dprogramminglanguagesourcecode
d00	BlasterMasterProFile
d10	H&RBlockDeductionProfile
d2s	Characterfile(Diablo2)
d3d	FileExtensionforDesktop-3DNotes
d64	Commodore64EmulatorDiskImage
dat	DatafileinspecialformatorASCII
data	SidTuneaudiofile
day	Journalfile
db	Configuration(dBASEIV-dBFast)
db$	Temperaturedebuginfo(ClarionModula-2)
db2	Database(dBASEII)
db3	Database(dBASEIII)
dba	Datafile(DataEase)
dbb	ANSYSDatabaseBackup
dbd	Businessdata(BusinessInsight)
dbf	Databasefile(dBASEIII/IV-FoxPro-dBFast-DataBoss)
dbg	Symbolicdebugginginformation(MSC/C++)
dbk	Databasebackup(dBASEIV)
dbl	WindowsXPActivationfile
dbm	Datafile(DataEase)
dbo	Compiledprogram(dBASEIV)
dbs	DatabaseinSQLWindowsformat
dbt	DataBaseText(Clipper)
dbw	Windowsfile(DataBoss)
dbx	Database
dca	DocumentContentArchitecturetextfile(IBMDisplayWrite)
dcf	Diskimagefile
dcm	DCMModuleFormat
dcp	DataCodePage(OS/2)
dcr	KodakProprietaryImageFormat
dcs	Bitmapgraphics(CYMKformat)(QuarkXPress)
dct	Databasedictionary(ClarionDatabaseDeveloper)
dcx	FAXImage
dd	CompressedMacintoshfilearchivecreatedbyDISKDOUBLER
ddat	DivXTemporaryfile
ddb	Bitmapgraphics
ddc	DivXDescriptorDescriptionFile
ddf	MSDataDefinitionLanguagefile
ddi	DiskdupeImagefile(ddupe322.zip)
ddp	DeviceDriverProfilefile(OS/2)
de	MetaProductsDownloadExpressincompletelydownloadedfile
de7	DanceEjay7File
deb	Debugscript(DOSDebug)
dec	VersaProDeclarationfile
def	Assemblyheaderfile(Geoworks)
dem	Demonstration
des	DescriptionText
dev	Devicedriver
dfd	DataFlowDiagramgraphic(Prosa)
dff	CriterionRenderWare3.x3Dobjectformat
dfi	Outlinefontdescription(Digifont)
dfl	Defaultprogramsettings(Signature)
dfm	DataFlowDiagrammodelfile(Prosa)
dfs	DelightSoundfile
dft	Fakt2000file
dfv	Printingform(Word)
dfx	Drafixfile
dgn	Graphics(MicroStation)
dgr	FaxPage(MSOutlookExpress)
dgs	Diagnostics
dh	Dependencyinformationfor.ph(Geoworks)
dhp	Dr.HaloPICFormatgraphics(Dr.HaloII-III)
dht	Datafile(Gauss)
dhy	AdobeBridgefile
dia	Diagraphgraphics(ComputerSupportCorporation)
dib	Bitmapgraphics(Device-IndependentBitmap)
dic	LotusNotes/Dominodictonaryfile
dif	Database(VisiCalc)
dig	DigilinkFormat
dip	Graphics
dir	AdobeDirectorMovieFile
